"SUID","annotation","database","id","instance","interaction","Interactiontype","metaid","modifiers","name","PMIDs","polarity","products","r_id","reactants","reldate","release","selected","shared interaction","shared name","shared_interaction","shared_name","source","source_alias","target","target_alias","type"
"103758","pubmed:15372092|pubmed:23151663|pubmed:11224709|pubmed:14964308",,"58431","csa185 -o sa663","interacts with","stimulation","re371","s2183","Accumulation _beta_-Catenin (interacts with)   _beta_-Catenin  ",,"1.0","s1069","re371","s950",,,"false","interacts with","Accumulation _beta_-Catenin (interacts with)   _beta_-Catenin  ","interacts with","Accumulation _beta_-Catenin (interacts with)   _beta_-Catenin  ","56558",,"55499",,"CATALYSIS"
"103759","",,"58430","sa3277 -D sa3423","interacts with","interaction","re1525","","  Cyclin D3   (interacts with)  dreg_Cyclin D3 ",,"0.0","s10365","re1525","s8817",,,"false","interacts with","  Cyclin D3   (interacts with)  dreg_Cyclin D3 ","interacts with","  Cyclin D3   (interacts with)  dreg_Cyclin D3 ","56557",,"56278",,"TRANSLATION"
"103760","",,"58429","sa2123 -D sa2127","interacts with","interaction","re971",""," N-Cadherin  (interacts with)   N-Cadherin  ",,"0.0","s3743","re971","s3739",,,"false","interacts with"," N-Cadherin  (interacts with)   N-Cadherin  ","interacts with"," N-Cadherin  (interacts with)   N-Cadherin  ","56556",,"56587",,"TRANSPORT"
"103761","",,"58428","sa1709 -D sa1711","interacts with","interaction","re760","","  COX2   (interacts with)    COX2   ",,"0.0","s2818","re760","s2816",,,"false","interacts with","  COX2   (interacts with)    COX2   ","interacts with","  COX2   (interacts with)    COX2   ","56555",,"56227",,"TRANSLATION"
"103762","pubmed:14668816",,"58427","sa2481 -D sa159","interacts with","stimulation","re86","","  VEGFD   (interacts with) Angiogenesis",,"1.0","s228","re86","s4809",,,"false","interacts with","  VEGFD   (interacts with) Angiogenesis","interacts with","  VEGFD   (interacts with) Angiogenesis","56554",,"55925",,"PHYSICAL_STIMULATION"
"103763","pubmed:11990853|pubmed:19632997|drugbank:DB00786",,"58426","csa313 -D sa2233","interacts with","interaction","re1052","s4073,s4072|s4073|s4072|s6075|s7586","TIMP-2/MMP-14/MMP-2 (interacts with)  MMP-2|active ",,"0.0","s4072|s9181","re1052","s9185",,,"false","interacts with","TIMP-2/MMP-14/MMP-2 (interacts with)  MMP-2|active ","interacts with","TIMP-2/MMP-14/MMP-2 (interacts with)  MMP-2|active ","56553",,"55492",,"DISSOCIATION"
"103764","pubmed:11990853|pubmed:19632997|drugbank:DB00786",,"58425","csa313 -D csa315","interacts with","interaction","re1052","s4073,s4072|s4073|s4072|s6075|s7586","TIMP-2/MMP-14/MMP-2 (interacts with)  TIMP-2/MMP-14 ",,"0.0","s4072|s9181","re1052","s9185",,,"false","interacts with","TIMP-2/MMP-14/MMP-2 (interacts with)  TIMP-2/MMP-14 ","interacts with","TIMP-2/MMP-14/MMP-2 (interacts with)  TIMP-2/MMP-14 ","56553",,"56302",,"DISSOCIATION"
"103765","pubmed:16420243|pubmed:11929605",,"58424","sa2737 -D sa2740","interacts with","interaction","re1294","","DOPAquinone (interacts with) DOPA chrome",,"0.0","s5755","re1294","s5752",,,"false","interacts with","DOPAquinone (interacts with) DOPA chrome","interacts with","DOPAquinone (interacts with) DOPA chrome","56552",,"56734",,"STATE_TRANSITION"
"103766","pubmed:16420243|pubmed:11929605",,"58423","sa2737 -D sa2738","interacts with","interaction","re1292","","DOPAquinone (interacts with) CysteinylDOPA",,"0.0","s5753","re1292","s5752|s5765",,,"false","interacts with","DOPAquinone (interacts with) CysteinylDOPA","interacts with","DOPAquinone (interacts with) CysteinylDOPA","56552",,"55465",,"STATE_TRANSITION"
"103767","",,"58422","sa316 -D sa3304","interacts with","interaction","re187",""," mRNA_FASL  (interacts with)   CD95L  ",,"0.0","s9289","re187","s480",,,"false","interacts with"," mRNA_FASL  (interacts with)   CD95L  ","interacts with"," mRNA_FASL  (interacts with)   CD95L  ","56549",,"55705",,"TRANSLATION"
"103768","",,"58421","sa136 -D sa143","interacts with","interaction","re75","","mRNA_Jun (interacts with)  mRNA_Jun ",,"0.0","s206","re75","mrnaCJun",,,"false","interacts with","mRNA_Jun (interacts with)  mRNA_Jun ","interacts with","mRNA_Jun (interacts with)  mRNA_Jun ","56548",,"55991",,"TRANSPORT"
"103769","pubmed:24795392",,"58420","sa3244 -I sa2064","interacts with","inhibition","re1512","s8520","LEE011 (interacts with)     CDK6    ",,"-1.0","s3428","re1512","s3428",,,"false","interacts with","LEE011 (interacts with)     CDK6    ","interacts with","LEE011 (interacts with)     CDK6    ","56547",,"55808",,"INHIBITION"
"103770","pubmed:24795392",,"58419","sa3244 -I sa2063","interacts with","inhibition","re1511","s8520","LEE011 (interacts with)    CDK4   ",,"-1.0","s3427","re1511","s3427",,,"false","interacts with","LEE011 (interacts with)    CDK4   ","interacts with","LEE011 (interacts with)    CDK4   ","56547",,"56106",,"INHIBITION"
"103771","pubmed:18558478|pubmed:22270953|pubmed:14964308|pubmed:14964308|pubmed:14964308",,"58418","sa1364 -D sa1366","interacts with","interaction","re647","s2217","    GTP     (interacts with)  CDC42|active ",,"0.0","s23|s1936","re647","s1935|s22",,,"false","interacts with","    GTP     (interacts with)  CDC42|active ","interacts with","    GTP     (interacts with)  CDC42|active ","56545",,"56425",,"STATE_TRANSITION"
"103772","pubmed:18558478|pubmed:22270953|pubmed:14964308|pubmed:14964308|pubmed:14964308",,"58417","sa1364 -D sa1365","interacts with","interaction","re647","s2217","    GTP     (interacts with)     GDP    ",,"0.0","s23|s1936","re647","s1935|s22",,,"false","interacts with","    GTP     (interacts with)     GDP    ","interacts with","    GTP     (interacts with)     GDP    ","56545",,"55485",,"STATE_TRANSITION"
"103773","pubmed:17409425",,"58416","sa2477 -D sa2478","interacts with","interaction","re1160","s10275"," HIF1a  (interacts with)   HIF1a  ",,"0.0","s4742","re1160","s4741",,,"false","interacts with"," HIF1a  (interacts with)   HIF1a  ","interacts with"," HIF1a  (interacts with)   HIF1a  ","56544",,"56102",,"TRANSCRIPTION"
"103774","",,"58415","sa1776 -D sa1779","interacts with","interaction","re805","","p16INK4A (interacts with)  p16INK4A ",,"0.0","s2943","re805","s2940",,,"false","interacts with","p16INK4A (interacts with)  p16INK4A ","interacts with","p16INK4A (interacts with)  p16INK4A ","56543",,"55757",,"TRANSPORT"
"103775","pubmed:15372092",,"58414","sa607 -o csa77","interacts with","stimulation","re359","s865","CK1a (interacts with) AXIN/APC/GSK/_beta_-Catenin ",,"1.0","s1421","re359","s1413",,,"false","interacts with","CK1a (interacts with) AXIN/APC/GSK/_beta_-Catenin ","interacts with","CK1a (interacts with) AXIN/APC/GSK/_beta_-Catenin ","56542",,"56787",,"CATALYSIS"
"103776","",,"58413","sa1780 -D sa1783","interacts with","interaction","re809","","  TBX2   (interacts with)    TBX2   ",,"0.0","s2947","re809","s2944",,,"false","interacts with","  TBX2   (interacts with)    TBX2   ","interacts with","  TBX2   (interacts with)    TBX2   ","56541",,"56833",,"TRANSLATION"
"103777","pubmed:20621483|drugbank:DB08912|drugbank:DB00398|pubmed:17016424|drugbank:DB08896|pubmed:25476894|drugbank:DB05190|pubmed:22578192",,"58412","sa3015 -I sa108","interacts with","inhibition","re52","s181|s7279|s7282|s7357|s8355|s8593","Regorafenib (interacts with) RAF|hm2|_pho|active",,"-1.0","s174","re52","s171",,,"false","interacts with","Regorafenib (interacts with) RAF|hm2|_pho|active","interacts with","Regorafenib (interacts with) RAF|hm2|_pho|active","56540",,"56450",,"INHIBITION"
"103778","pubmed:19283671|pubmed:19283671|pubmed:17016424|pubmed:17016424|drugbank:DB08896|drugbank:DB08875|drugbank:DB04868|drugbank:DB00619|drugbank:DB01268|drugbank:DB01254|drugbank:DB06589|drugbank:DB08901",,"58411","sa3015 -I csa195","interacts with","inhibition","re670","s7282|s7357|s7359|s7365|s7366|s7434|s7435|s7436|s7437|s8521","Regorafenib (interacts with) SCF/KIT/GRB2/SOS/SHC",,"-1.0","s10239","re670","s55|s2263|s17|s2265",,,"false","interacts with","Regorafenib (interacts with) SCF/KIT/GRB2/SOS/SHC","interacts with","Regorafenib (interacts with) SCF/KIT/GRB2/SOS/SHC","56540",,"55735",,"INHIBITION"
"103779","pubmed:23403721|pubmed:10843728|drugbank:DB08896|drugbank:DB08901|pubmed:21976540",,"58410","sa3015 -I csa341","interacts with","inhibition","re1111","s4372|s7357|s7437|s8522","Regorafenib (interacts with) FGF/FGFR/FRS2a/GRB2/SOS|active",,"-1.0","s4474","re1111","s4459|s4462|s55|s4471",,,"false","interacts with","Regorafenib (interacts with) FGF/FGFR/FRS2a/GRB2/SOS|active","interacts with","Regorafenib (interacts with) FGF/FGFR/FRS2a/GRB2/SOS|active","56540",,"56224",,"INHIBITION"
"103780","drugbank:DB08912|pubmed:17016424|drugbank:DB08896|pubmed:25476894|drugbank:DB05190|pubmed:23617957|pubmed:22351689|pubmed:22319199",,"58409","sa3015 -I sa3342","interacts with","inhibition","re1446","s7278|s7279|s7282|s7357|s8355|s8447|s8451|s8452","Regorafenib (interacts with)  mut_BRAF_V600E ",,"-1.0","s10275","re1446","s10275",,,"false","interacts with","Regorafenib (interacts with)  mut_BRAF_V600E ","interacts with","Regorafenib (interacts with)  mut_BRAF_V600E ","56540",,"56143",,"INHIBITION"
"103781","drugbank:DB08896",,"58408","sa3015 -I csa343","interacts with","inhibition","re1118","s7357","Regorafenib (interacts with) FGF/FGFR/PLCg1|active",,"-1.0","s4553","re1118","s4459|s4462|s4472",,,"false","interacts with","Regorafenib (interacts with) FGF/FGFR/PLCg1|active","interacts with","Regorafenib (interacts with) FGF/FGFR/PLCg1|active","56540",,"56220",,"INHIBITION"
"103782","pubmed:19283671|pubmed:17016424|drugbank:DB08896|drugbank:DB08875|drugbank:DB04868|drugbank:DB00619|drugbank:DB01268|drugbank:DB01254|drugbank:DB06589|drugbank:DB08901|pubmed:24718867",,"58407","sa3015 -I csa198","interacts with","inhibition","re671","s7282|s7357|s7359|s7365|s7366|s7434|s7435|s7436|s7437|s8521","Regorafenib (interacts with) SCF/c-KT/PI3K|active",,"-1.0","s10245","re671","s2263|s9081|s2265",,,"false","interacts with","Regorafenib (interacts with) SCF/c-KT/PI3K|active","interacts with","Regorafenib (interacts with) SCF/c-KT/PI3K|active","56540",,"56130",,"INHIBITION"
"103783","pubmed:23403721|pubmed:10843728|drugbank:DB08896|drugbank:DB08901|pubmed:21976540",,"58406","sa3015 -I csa342","interacts with","inhibition","re1110","s4372|s7357|s7437|s8522","Regorafenib (interacts with) FGF/FGFR/FRS2a/GRB2/GAB1/PI3K|active",,"-1.0","s4481","re1110","s810|s1910|s9081|s4459|s4462|s4471",,,"false","interacts with","Regorafenib (interacts with) FGF/FGFR/FRS2a/GRB2/GAB1/PI3K|active","interacts with","Regorafenib (interacts with) FGF/FGFR/FRS2a/GRB2/GAB1/PI3K|active","56540",,"55847",,"INHIBITION"
"103784","",,"58405","sa2221 -D sa3427","interacts with","interaction","re1047","","  MMP-2   (interacts with)  dreg_MMP-2 ",,"0.0","s10368","re1047","s3939",,,"false","interacts with","  MMP-2   (interacts with)  dreg_MMP-2 ","interacts with","  MMP-2   (interacts with)  dreg_MMP-2 ","56539",,"55726",,"TRANSLATION"
"103785","pubmed:11990853|drugbank:DB01197|pubmed:10328230|drugbank:DB00786",,"58404","sa3054 -I csa313","interacts with","inhibition","re1054","s7585|s7586","Marimastat (interacts with) TIMP-2/MMP-14/MMP-2",,"-1.0","s9185","re1054","s10301|s9181",,,"false","interacts with","Marimastat (interacts with) TIMP-2/MMP-14/MMP-2","interacts with","Marimastat (interacts with) TIMP-2/MMP-14/MMP-2","56538",,"56553",,"INHIBITION"
"103786","pubmed:11990853|pubmed:19632997|drugbank:DB00786",,"58403","sa3054 -I sa2233","interacts with","inhibition","re1052","s4073,s4072|s4073|s4072|s6075|s7586","Marimastat (interacts with)  MMP-2|active ",,"-1.0","s4072|s9181","re1052","s9185",,,"false","interacts with","Marimastat (interacts with)  MMP-2|active ","interacts with","Marimastat (interacts with)  MMP-2|active ","56538",,"55492",,"INHIBITION"
"103787","pubmed:12209155|drugbank:DB00786",,"58402","sa3054 -I sa2817","interacts with","inhibition","re1356","s6158|s7586","Marimastat (interacts with) MMP-1|active",,"-1.0","s6156","re1356","s6156",,,"false","interacts with","Marimastat (interacts with) MMP-1|active","interacts with","Marimastat (interacts with) MMP-1|active","56538",,"56706",,"INHIBITION"
"103788","pubmed:11990853|pubmed:19632997|drugbank:DB00786",,"58401","sa3054 -I csa315","interacts with","inhibition","re1052","s4073,s4072|s4073|s4072|s6075|s7586","Marimastat (interacts with)  TIMP-2/MMP-14 ",,"-1.0","s4072|s9181","re1052","s9185",,,"false","interacts with","Marimastat (interacts with)  TIMP-2/MMP-14 ","interacts with","Marimastat (interacts with)  TIMP-2/MMP-14 ","56538",,"56302",,"INHIBITION"
"103789","pubmed:19648011",,"58400","csa244 -D csa245","interacts with","interaction","re743","","TAK1/TAB1/TAB2 (interacts with) sTNFalpha/TNFR1/TRADD/TRAF2/RIP/TAB1/TAB1/TAK1|active",,"0.0","s2707","re743","s2703|s2677",,,"false","interacts with","TAK1/TAB1/TAB2 (interacts with) sTNFalpha/TNFR1/TRADD/TRAF2/RIP/TAB1/TAB1/TAK1|active","interacts with","TAK1/TAB1/TAB2 (interacts with) sTNFalpha/TNFR1/TRADD/TRAF2/RIP/TAB1/TAB1/TAK1|active","56537",,"55536",,"HETERODIMER_ASSOCIATION"
"103790","pubmed:15986140|pubmed:14668806",,"58399","sa2192 -D sa2194","interacts with","interaction","re1035","s3906","STAT|_pho (interacts with) STAT",,"0.0","s3903","re1035","s3901",,,"false","interacts with","STAT|_pho (interacts with) STAT","interacts with","STAT|_pho (interacts with) STAT","56536",,"56609",,"STATE_TRANSITION"
"103791","pubmed:15986140",,"58398","sa2192 -D sa2193","interacts with","interaction","re1032","","STAT|_pho (interacts with) STAT|hm2|_pho",,"0.0","s3902","re1032","s3901",,,"false","interacts with","STAT|_pho (interacts with) STAT|hm2|_pho","interacts with","STAT|_pho (interacts with) STAT|hm2|_pho","56536",,"55916",,"STATE_TRANSITION"
"103792","",,"58397","sa2814 -D sa2816","interacts with","interaction","re1358","","   MMP-1    (interacts with)     MMP-1    ",,"0.0","s6156","re1358","s6154",,,"false","interacts with","   MMP-1    (interacts with)     MMP-1    ","interacts with","   MMP-1    (interacts with)     MMP-1    ","56535",,"55969",,"TRANSPORT"
"103793","",,"58396","sa173 -D sa179","interacts with","interaction","re103",""," mRNA_HB-EGF  (interacts with)  HB-EGF ",,"0.0","s248","re103","s242",,,"false","interacts with"," mRNA_HB-EGF  (interacts with)  HB-EGF ","interacts with"," mRNA_HB-EGF  (interacts with)  HB-EGF ","56534",,"55602",,"TRANSLATION"
"103794","pubmed:19641507",,"58395","sa3198 -I csa433","interacts with","inhibition","re1465","s8067","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/BCL-w",,"-1.0","s2096|s7912","re1465","s7916|s470",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/BCL-w","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/BCL-w","56533",,"56406",,"INHIBITION"
"103795","pubmed:19641507",,"58394","sa3198 -I sa3123","interacts with","inhibition","re1465","s8067","BAD|Ser-136_pho|Ser-112_pho (interacts with)   Bid  ",,"-1.0","s2096|s7912","re1465","s7916|s470",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)   Bid  ","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)   Bid  ","56533",,"55945",,"INHIBITION"
"103796","pubmed:18314333|pubmed:19641507",,"58393","sa3198 -I sa3115","interacts with","inhibition","re1462","s8067","BAD|Ser-136_pho|Ser-112_pho (interacts with)  Bid ",,"-1.0","s8074|s2096","re1462","s9276|s470",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)  Bid ","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)  Bid ","56533",,"56180",,"INHIBITION"
"103797","pubmed:19641507",,"58392","sa3198 -D csa452","interacts with","interaction","re1481","","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/14-3-3",,"0.0","s8068","re1481","s1989|s8067",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/14-3-3","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/14-3-3","56533",,"55874",,"HETERODIMER_ASSOCIATION"
"103798","pubmed:18314333|pubmed:19641507",,"58391","sa3198 -I csa432","interacts with","inhibition","re1462","s8067","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/BCL-XL",,"-1.0","s8074|s2096","re1462","s9276|s470",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/BCL-XL","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with) BAD/BCL-XL","56533",,"56069",,"INHIBITION"
"103799","pubmed:18314333|pubmed:19641507|pubmed:19641507",,"58390","sa3198 -I sa3158","interacts with","inhibition","re1472","s8067|s8080","BAD|Ser-136_pho|Ser-112_pho (interacts with)     BIM    ",,"-1.0","s7844|s7912","re1472","s470|s7908",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)     BIM    ","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)     BIM    ","56533",,"56654",,"INHIBITION"
"103800","pubmed:18314333|pubmed:19641507|pubmed:19641507",,"58389","sa3198 -I sa3155","interacts with","inhibition","re1471","s8067|s8080","BAD|Ser-136_pho|Ser-112_pho (interacts with)    BIM   ",,"-1.0","s8074|s7844","re1471","s7907|s470",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)    BIM   ","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)    BIM   ","56533",,"56014",,"INHIBITION"
"103801","pubmed:18314333|pubmed:19641507|pubmed:19641507",,"58388","sa3198 -I csa443","interacts with","inhibition","re1472","s8067|s8080","BAD|Ser-136_pho|Ser-112_pho (interacts with)  BAD/BCL-w ",,"-1.0","s7844|s7912","re1472","s470|s7908",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)  BAD/BCL-w ","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)  BAD/BCL-w ","56533",,"55941",,"INHIBITION"
"103802","pubmed:18314333|pubmed:19641507|pubmed:19641507",,"58387","sa3198 -I csa442","interacts with","inhibition","re1471","s8067|s8080","BAD|Ser-136_pho|Ser-112_pho (interacts with)  BAD/BCL-XL ",,"-1.0","s8074|s7844","re1471","s7907|s470",,,"false","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)  BAD/BCL-XL ","interacts with","BAD|Ser-136_pho|Ser-112_pho (interacts with)  BAD/BCL-XL ","56533",,"56031",,"INHIBITION"
"103803","",,"58386","sa2124 -D sa2128","interacts with","interaction","re973",""," E-Cadherin  (interacts with)   E-Cadherin  ",,"0.0","s3744","re973","s3740",,,"false","interacts with"," E-Cadherin  (interacts with)   E-Cadherin  ","interacts with"," E-Cadherin  (interacts with)   E-Cadherin  ","56532",,"55958",,"TRANSPORT"
"103804","pubmed:23563312",,"58385","sa1464 -o sa2474","interacts with","stimulation","re1156","s4651,s2384|s4651|s2384","CREB|_pho|active (interacts with)    MMP-14   ",,"1.0","s4674","re1156","s4672",,,"false","interacts with","CREB|_pho|active (interacts with)    MMP-14   ","interacts with","CREB|_pho|active (interacts with)    MMP-14   ","56530",,"56601",,"CATALYSIS"
"103805","pubmed:25109840|pubmed:15372092|pubmed:25017568|pubmed:20444197|pubmed:19002157",,"58384","sa1464 -o sa713","interacts with","stimulation","re395","s1159|s1158|s1231|s1242|s2384|s5774|s5843","CREB|_pho|active (interacts with) MITF",,"1.0","s1113","re395","s10358",,,"false","interacts with","CREB|_pho|active (interacts with) MITF","interacts with","CREB|_pho|active (interacts with) MITF","56530",,"56562",,"CATALYSIS"
"103806","pubmed:16540670|pubmed:23563312|pubmed:22684365|pubmed:9366524|pubmed:25017568|pubmed:19632997|pubmed:10328230|drugbank:DB01197",,"58383","sa1464 -o sa2220","interacts with","stimulation","re1045","s3904|s4661|s2384|s6075|s7585","CREB|_pho|active (interacts with)  MMP-2 ",,"1.0","s3938","re1045","s3937",,,"false","interacts with","CREB|_pho|active (interacts with)  MMP-2 ","interacts with","CREB|_pho|active (interacts with)  MMP-2 ","56530",,"56054",,"CATALYSIS"
"103807","pubmed:22684365|pubmed:20805990",,"58382","sa1464 -I sa1851","interacts with","inhibition","re1264","s2384|s3407","CREB|_pho|active (interacts with) AP-2",,"-1.0","s3072","re1264","s3047",,,"false","interacts with","CREB|_pho|active (interacts with) AP-2","interacts with","CREB|_pho|active (interacts with) AP-2","56530",,"56255",,"INHIBITION"
"103808","pubmed:19632997",,"58381","sa1464 -I sa2802","interacts with","inhibition","re1338","s2384","CREB|_pho|active (interacts with)  CYR61 ",,"-1.0","s6073","re1338","s6072",,,"false","interacts with","CREB|_pho|active (interacts with)  CYR61 ","interacts with","CREB|_pho|active (interacts with)  CYR61 ","56530",,"56052",,"INHIBITION"
"103809","pubmed:20805990",,"58380","sa1464 -o sa2807","interacts with","stimulation","re1347","s2384","CREB|_pho|active (interacts with)    E2F   ",,"1.0","s6078","re1347","s6076",,,"false","interacts with","CREB|_pho|active (interacts with)    E2F   ","interacts with","CREB|_pho|active (interacts with)    E2F   ","56530",,"55892",,"CATALYSIS"
"103810","pubmed:22189424",,"58379","sa3221 -D sa3227","interacts with","interaction","re1504","s8373","  RAS|_don   (interacts with)    RAS|_don   ",,"0.0","s8361","re1504","s8361",,,"false","interacts with","  RAS|_don   (interacts with)    RAS|_don   ","interacts with","  RAS|_don   (interacts with)    RAS|_don   ","56529",,"56291",,"STATE_TRANSITION"
"103811","pubmed:23222305",,"58378","sa745 -D sa2147","interacts with","interaction","re1351","","   TWIST1    (interacts with) Melanoma cell invasion",,"0.0","s3761","re1351","s1149",,,"false","interacts with","   TWIST1    (interacts with) Melanoma cell invasion","interacts with","   TWIST1    (interacts with) Melanoma cell invasion","56528",,"55930",,"STATE_TRANSITION"
"103812","",,"58377","sa745 -D sa2130","interacts with","interaction","re978","","   TWIST1    (interacts with)     TWIST1    ",,"0.0","s3745","re978","s1149",,,"false","interacts with","   TWIST1    (interacts with)     TWIST1    ","interacts with","   TWIST1    (interacts with)     TWIST1    ","56528",,"55456",,"TRANSPORT"
"103813","pubmed:15986140|pubmed:17186030|drugbank:DB01269|drugbank:DB00002|drugbank:DB00317|drugbank:DB01259|drugbank:DB00530|drugbank:DB08916|drugbank:DB05294",,"58376","sa3008 -I csa321","interacts with","inhibition","re1062","s7284|s7281|s7280|s7285|s7283|s7286|s7287","Erlotinib (interacts with) EGF/EGFR/JAK|active",,"-1.0","s4110","re1062","s3854|s254|s255",,,"false","interacts with","Erlotinib (interacts with) EGF/EGFR/JAK|active","interacts with","Erlotinib (interacts with) EGF/EGFR/JAK|active","56527",,"55438",,"INHIBITION"
"103814","pubmed:21468131|drugbank:DB00530|drugbank:DB01259|drugbank:DB08916|drugbank:DB05294",,"58375","sa3008 -I csa24","interacts with","inhibition","re139","s7280|s7283|s7285|s7286|s7287","Erlotinib (interacts with) EGF/EGFR|active",,"-1.0","s10218","re139","s10215",,,"false","interacts with","Erlotinib (interacts with) EGF/EGFR|active","interacts with","Erlotinib (interacts with) EGF/EGFR|active","56527",,"56268",,"INHIBITION"
"103815","pubmed:15986140|pubmed:17186030|drugbank:DB01269|drugbank:DB00002|drugbank:DB00317|drugbank:DB01259|drugbank:DB00530|drugbank:DB08916|drugbank:DB05294",,"58374","sa3008 -I csa320","interacts with","inhibition","re1061","s7284|s7281|s7280|s7285|s7283|s7286|s7287","Erlotinib (interacts with) EGF/EGFR/SRC|active",,"-1.0","s4098","re1061","s3853|s254|s255",,,"false","interacts with","Erlotinib (interacts with) EGF/EGFR/SRC|active","interacts with","Erlotinib (interacts with) EGF/EGFR/SRC|active","56527",,"55532",,"INHIBITION"
"103816","pubmed:24122977|pubmed:21468131|drugbank:DB00530|drugbank:DB01259|drugbank:DB08916|drugbank:DB05294",,"58373","sa3008 -I csa19","interacts with","inhibition","re126","s7280|s7283|s7285|s7286|s7287","Erlotinib (interacts with)  EGF/EGFR|active ",,"-1.0","s10218","re126","s10215",,,"false","interacts with","Erlotinib (interacts with)  EGF/EGFR|active ","interacts with","Erlotinib (interacts with)  EGF/EGFR|active ","56527",,"56108",,"INHIBITION"
"103817","",,"58372","sa2793 -D sa2794","interacts with","interaction","re1330","","  PAX3   (interacts with)    PAX3   ",,"0.0","s6065","re1330","s6064",,,"false","interacts with","  PAX3   (interacts with)    PAX3   ","interacts with","  PAX3   (interacts with)    PAX3   ","56526",,"55821",,"TRANSPORT"
"103818","pubmed:22189424",,"58371","sa3230 -o sa3229","interacts with","stimulation","re1505","s8377","ZDHHC9 (interacts with) RAS|_don|_pal",,"1.0","s8378","re1505","s8361",,,"false","interacts with","ZDHHC9 (interacts with) RAS|_don|_pal","interacts with","ZDHHC9 (interacts with) RAS|_don|_pal","56525",,"55714",,"CATALYSIS"
"103819","pubmed:18426405",,"58370","sa2616 -D sa492","interacts with","interaction","re1229","","   CDKN1C/p57    (interacts with) Cell cycle arrest",,"0.0","s705","re1229","s5198",,,"false","interacts with","   CDKN1C/p57    (interacts with) Cell cycle arrest","interacts with","   CDKN1C/p57    (interacts with) Cell cycle arrest","56524",,"56551",,"STATE_TRANSITION"
"103820","",,"58369","sa138 -D sa1095","interacts with","interaction","re541","","  Jun   (interacts with)    Jun   ",,"0.0","Jun_inactive_nucl","re541","s202",,,"false","interacts with","  Jun   (interacts with)    Jun   ","interacts with","  Jun   (interacts with)    Jun   ","56522",,"55676",,"TRANSPORT"
"103821","pubmed:14668816|pubmed:15564374",,"58368","sa138 -D csa13","interacts with","interaction","re73","","  Jun   (interacts with) AP-1",,"0.0","s1382","re73","s205|s202",,,"false","interacts with","  Jun   (interacts with) AP-1","interacts with","  Jun   (interacts with) AP-1","56522",,"56254",,"HETERODIMER_ASSOCIATION"
"103822","pubmed:10597268|pubmed:19641507|pubmed:10597268|pubmed:10558990|pubmed:19641507",,"58367","sa3185 -D sa3198","interacts with","interaction","re1482","s1974|s414|s2377"," BAD|Ser-136_pho  (interacts with) BAD|Ser-136_pho|Ser-112_pho",,"0.0","s8067","re1482","s471",,,"false","interacts with"," BAD|Ser-136_pho  (interacts with) BAD|Ser-136_pho|Ser-112_pho","interacts with"," BAD|Ser-136_pho  (interacts with) BAD|Ser-136_pho|Ser-112_pho","56521",,"56533",,"STATE_TRANSITION"
"103823","pubmed:25109840|pubmed:15372092|pubmed:12700239",,"58366","csa96 -D csa110","interacts with","interaction","re436","s2127","TCF/TWIS_gene complex (interacts with) _beta_-Catenin/TCF/TWIST_gene complex",,"0.0","s1233","re436+re959","s6148|s1069",,,"false","interacts with","TCF/TWIS_gene complex (interacts with) _beta_-Catenin/TCF/TWIST_gene complex","interacts with","TCF/TWIS_gene complex (interacts with) _beta_-Catenin/TCF/TWIST_gene complex","56520",,"56396",,"HETERODIMER_ASSOCIATION"
"103824","pubmed:25109840|pubmed:15372092|pubmed:23563312|pubmed:25061102|pubmed:23222305",,"58365","csa96 -I sa721","interacts with","inhibition","re400","s6145|s6148|s1233|s1240|s6144|s190","TCF/TWIS_gene complex (interacts with)  TWIST1 ",,"-1.0","s1116","re400","s1091",,,"false","interacts with","TCF/TWIS_gene complex (interacts with)  TWIST1 ","interacts with","TCF/TWIS_gene complex (interacts with)  TWIST1 ","56520",,"55967",,"INHIBITION"
